p1_satisfaction,p2_satisfaction,p3_satisfaction,p4_satisfaction,p5_satisfaction
3.8,3.67,3.26,3.67,4
4,4.36,3.4,4.36,3
4.4,2.96,2.54,2.96,3.25
3.8,3.9,3.31,3.9,3.75
4.2,4.04,3.26,4.04,4.25
3.2,3,1.97,3,2.75
4.4,3.97,2.52,3.97,4
3.6,3.25,1.8,3.25,3.75
2.4,2.64,2.53,2.64,2
4,3.67,3.25,3.67,3.25
3.4,2.56,2.4,2.56,2
4.2,3.51,2.86,3.51,3.25
3.8,3.96,2.81,3.96,4.5
4.8,3.91,2.57,3.91,4
4,3.62,2.29,3.62,3.75
3.6,2.44,2.57,2.44,1.75
4.6,3.84,2.66,3.84,4
3.6,3.29,2.15,3.29,3.75
4,3.87,3.11,3.87,3.75
4.2,4.15,2.69,4.15,4.5
3.4,3.67,2.71,3.67,3.5
4.6,4.03,3.4,4.03,4.25
4.2,3.43,2.11,3.43,3.75
4.2,4.15,2.5,4.85,4
4.6,4.33,3.4,4.33,3
4,3.53,2.4,3.53,4.25
4.2,3.67,2.8,3.67,4.25
3.4,3.29,2.69,3.29,3.25
4.2,4.03,3.26,4.03,4.25
4.6,4.35,3.97,4.35,5
5,3,2.6,4.12,4.75
3.4,3.46,1.9,3.46,3
2.8,3.44,2.53,3.44,3.25
2.8,2.84,2.26,2.84,3
4.2,4.02,2.65,4.02,4.5
5,4.49,3.3,4.49,5
4.6,4.01,3.11,4.01,4.75
3.8,3.54,2.54,3.54,4
3.2,3.24,2.54,3.24,3.25
5,3,2.96,4.61,5
4.8,3.93,3.01,3.93,4.25
1.6,2.45,1.7,2.45,3
4.2,3.22,2.4,3.22,3.5
2.8,3.45,1.96,3.45,4
